,area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_squrt
5070,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,1.0,49.27,2,4321.929824561404
5071,Super built-up  Area,Ready To Move,other,3 BHK,1200.0,2.0,2.0,75.0,3,6250.0
5072,Super built-up  Area,Ready To Move,other,2 BHK,985.0,2.0,1.0,55.0,2,5583.756345177665
5073,Super built-up  Area,Ready To Move,Bellandur,2 BHK,982.0,2.0,2.0,55.0,2,5600.814663951121
5074,Built-up  Area,Ready To Move,9th Phase JP Nagar,1 BHK,600.0,1.0,0.0,20.0,1,3333.333333333333
5075,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2640.0,5.0,1.0,142.0,3,5378.787878787879
5076,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1314.0,2.0,2.0,68.8,2,5235.920852359209
5077,Super built-up  Area,Ready To Move,other,3 BHK,1700.0,2.0,2.0,68.5,3,4029.4117647058815
5078,Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,1077.0,2.0,2.0,93.0,2,8635.097493036212
5079,Built-up  Area,Ready To Move,Chandapura,4 Bedroom,1891.0,2.708601981443623,,66.165,4,3498.942358540455
5080,Super built-up  Area,Ready To Move,other,5 BHK,2000.0,4.0,1.0,99.0,5,4950.0
5081,Super built-up  Area,Ready To Move,other,3 BHK,1643.0,3.0,2.0,75.0,3,4564.820450395618
5082,Plot  Area,Ready To Move,Kengeri,3 Bedroom,1200.0,3.0,1.0,67.0,3,5583.333333333333
5083,Super built-up  Area,Ready To Move,Abbigere,2 BHK,1020.0,2.0,1.0,41.82,2,4100.0
5084,Built-up  Area,Ready To Move,other,3 BHK,1740.0,3.0,2.0,55.0,3,3160.919540229885
5085,Super built-up  Area,18-May,GM Palaya,2 BHK,1225.0,2.0,2.0,47.0,2,3836.734693877551
5086,Built-up  Area,Ready To Move,Thanisandra,3 BHK,1241.0,2.0,1.0,61.0,3,4915.390813859791
5087,Super built-up  Area,Ready To Move,Hennur,2 BHK,1041.0,2.0,2.0,40.6,2,3900.096061479346
5088,Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,1050.0,2.0,2.0,46.0,2,4380.952380952381
5089,Super built-up  Area,18-Mar,other,3 BHK,4400.0,3.0,1.0,901.0,3,20477.272727272728
5090,Super built-up  Area,21-May,Kanakpura Road,2 BHK,1309.0,2.0,3.0,64.39,2,4919.022154316272
5091,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1128.0,2.0,2.0,45.0,2,3989.36170212766
5092,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1430.0,2.0,1.0,50.0,3,3496.5034965034965
5093,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,1065.0,2.0,1.0,47.86,2,4493.896713615023
5094,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1085.0,2.0,1.0,64.0,2,5898.617511520737
5095,Plot  Area,Ready To Move,Vishveshwarya Layout,1 Bedroom,750.0,1.0,1.0,30.0,1,4000.0
5096,Super built-up  Area,Ready To Move,Bellandur,2 BHK,981.0,2.0,2.0,37.28,2,3800.203873598369
5097,Carpet  Area,18-Dec,Bhoganhalli,4 BHK,1548.3,4.0,1.0,129.0,4,8331.71865917458
5098,Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,2302.0,4.0,2.0,300.0,4,13032.145960034752
5099,Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1410.0,2.0,2.0,60.0,3,4255.31914893617
5100,Super built-up  Area,19-Mar,Hosa Road,3 BHK,1525.84,3.0,1.0,117.0,3,7667.90751323861
5101,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,42.6,2,3550.0
5102,Built-up  Area,Ready To Move,other,2 BHK,1030.0,2.0,2.0,80.0,2,7766.990291262135
5103,Super built-up  Area,Ready To Move,BTM 1st Stage,3 BHK,1852.0,2.0,,95.0,3,5129.589632829374
5104,Built-up  Area,18-Dec,Electronic City,2 BHK,1160.0,2.0,1.0,33.5,2,2887.9310344827586
5105,Built-up  Area,Ready To Move,Jigani,2 BHK,918.0,2.0,1.0,49.0,2,5337.690631808279
5106,Built-up  Area,Ready To Move,JP Nagar,3 BHK,1150.0,2.0,2.0,49.9,3,4339.130434782609
5107,Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,2700.0,3.0,,324.0,3,12000.0
5108,Built-up  Area,18-Mar,other,2 BHK,1150.0,2.0,2.0,69.0,2,6000.0
5109,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1227.0,2.0,2.0,53.49,2,4359.413202933985
5110,Super built-up  Area,18-Dec,Hebbal,3 BHK,1255.0,3.0,2.0,77.68,3,6189.641434262949
5111,Super built-up  Area,Ready To Move,Panathur,2 BHK,1198.0,2.0,1.0,82.0,2,6844.741235392321
5112,Plot  Area,Ready To Move,Devarachikkanahalli,3 Bedroom,1200.0,3.0,1.0,160.0,3,13333.333333333334
5113,Built-up  Area,Ready To Move,other,4 Bedroom,2600.0,3.0,1.0,95.0,4,3653.846153846154
5114,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,797.0,2.0,1.0,32.0,2,4015.056461731493
5115,Built-up  Area,Ready To Move,other,3 BHK,1350.0,2.0,3.0,68.0,3,5037.037037037037
5116,Built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,2500.0,4.0,,200.0,4,8000.0
5117,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2215.0,4.0,2.0,160.0,3,7223.476297968397
5118,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525.0,1.0,1.0,30.0,1,5714.285714285715
5119,Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,2700.0,4.0,3.0,260.0,4,9629.62962962963
5120,Super built-up  Area,Ready To Move,other,3 BHK,1500.0,2.0,1.0,90.0,3,6000.0
5121,Plot  Area,Ready To Move,other,2 Bedroom,900.0,2.0,0.0,55.0,2,6111.111111111111
5122,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1355.0,2.0,3.0,58.27,3,4300.369003690037
5123,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1465.0,2.0,2.0,49.81,3,3400.0
5124,Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,1006.0,2.0,1.0,57.0,2,5666.003976143141
5125,Built-up  Area,Ready To Move,Vishveshwarya Layout,4 BHK,2000.0,4.0,1.0,75.0,4,3750.0
5126,Super built-up  Area,18-Aug,Electronic City,2 BHK,1128.0,2.0,1.0,65.7,2,5824.468085106383
5127,Built-up  Area,Ready To Move,other,2 BHK,850.0,2.0,0.0,35.0,2,4117.64705882353
5128,Super built-up  Area,Ready To Move,ISRO Layout,3 BHK,1310.0,2.0,3.0,68.0,3,5190.839694656489
5129,Super built-up  Area,Ready To Move,Banashankari,2 BHK,1390.0,2.0,2.0,86.0,2,6187.050359712231
5130,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1390.0,2.0,2.0,76.45,3,5500.0
5131,Plot  Area,Ready To Move,Marathahalli,4 Bedroom,2396.0,4.0,2.0,325.0,4,13564.273789649416
5132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1170.0,2.0,1.0,33.0,2,2820.5128205128203
5133,Super built-up  Area,Ready To Move,Gottigere,3 BHK,1385.0,2.0,2.0,50.0,3,3610.1083032490974
5134,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,1160.0,2.0,1.0,42.0,2,3620.689655172414
5135,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,1160.0,2.0,1.0,33.5,2,2887.9310344827586
5136,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1200.0,2.0,2.0,69.0,3,5750.0
5137,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1475.0,2.0,2.0,55.0,2,3728.813559322034
5138,Built-up  Area,20-Jul,Sarjapur  Road,3 Bedroom,1939.0,3.0,0.0,98.0,3,5054.151624548736
5139,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,850.0,2.0,2.0,42.0,2,4941.176470588235
5140,Built-up  Area,17-May,Balagere,1 BHK,675.0,1.0,1.0,45.0,1,6666.666666666667
5141,Built-up  Area,Ready To Move,Electronic City,2 BHK,1060.0,2.0,1.0,51.0,2,4811.320754716981
5142,Super built-up  Area,18-Jun,Whitefield,2 BHK,1235.0,2.0,2.0,47.0,2,3805.668016194332
5143,Plot  Area,18-May,other,2 Bedroom,600.0,4.0,1.0,110.0,2,18333.33333333333
5144,Super built-up  Area,Ready To Move,other,2 BHK,1250.0,2.0,1.0,60.0,2,4800.0
5145,Super built-up  Area,Ready To Move,Banashankari,2 BHK,1460.0,2.0,3.0,70.0,2,4794.520547945205
5146,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1690.0,3.0,2.0,85.0,3,5029.585798816568
5147,Built-up  Area,Ready To Move,Indira Nagar,1 BHK,850.0,1.0,2.0,57.0,1,6705.882352941177
5148,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843.0,3.0,2.0,82.0,3,4449.267498643516
5149,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,117.0,3,6964.285714285715
5150,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,1047.0,2.0,1.0,84.0,2,8022.922636103151
5151,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1100.0,2.0,2.0,35.0,2,3181.818181818182
5152,Plot  Area,Ready To Move,Indira Nagar,8 Bedroom,3250.0,8.0,1.0,600.0,8,18461.53846153846
5153,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,1120.0,2.0,3.0,53.0,2,4732.142857142857
5154,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1095.0,2.0,2.0,38.33,2,3500.4566210045664
5155,Super built-up  Area,19-Oct,other,2 BHK,970.0,2.0,2.0,35.0,2,3608.247422680413
5156,Built-up  Area,Ready To Move,Hosa Road,3 BHK,1100.0,2.0,3.0,85.0,3,7727.272727272727
5157,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1685.0,3.0,2.0,85.0,3,5044.510385756676
5158,Built-up  Area,Ready To Move,other,2 BHK,1148.0,2.0,1.0,59.0,2,5139.372822299652
5159,Built-up  Area,Ready To Move,Marathahalli,2 BHK,1050.0,2.0,1.0,65.0,2,6190.476190476191
5160,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1465.0,2.0,1.0,76.0,3,5187.713310580205
5161,Plot  Area,Ready To Move,Kothanur,4 Bedroom,3401.0,5.0,,230.0,4,6762.716847985887
5162,Built-up  Area,17-Dec,Electronic City,1 BHK,630.0,1.0,1.0,60.0,1,9523.809523809525
5163,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,1.0,150.0,3,8108.108108108108
5164,Built-up  Area,Ready To Move,other,4 Bedroom,1750.0,2.0,1.0,225.0,4,12857.142857142857
5165,Built-up  Area,Ready To Move,other,3 BHK,1350.0,3.0,1.0,60.0,3,4444.444444444444
5166,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,1760.0,3.0,2.0,160.0,3,9090.90909090909
5167,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1440.0,2.0,2.0,185.0,2,12847.222222222224
5168,Super built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,1200.0,2.0,0.0,42.0,2,3500.0
5169,Built-up  Area,Ready To Move,other,2 BHK,1100.0,2.0,1.0,78.0,2,7090.909090909091
5170,Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1140.0,2.0,2.0,46.0,2,4035.0877192982457
5171,Super built-up  Area,19-Aug,Hormavu,3 BHK,1617.5,3.0,0.0,73.595,3,4549.922720247295
5172,Super built-up  Area,Ready To Move,Gottigere,2 BHK,1410.0,2.0,2.0,45.0,2,3191.489361702128
5173,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1434.0,2.0,1.0,67.39,3,4699.442119944212
5174,Plot  Area,Ready To Move,other,2 Bedroom,1180.0,2.0,2.0,74.0,2,6271.186440677966
5175,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1343.0,2.0,2.0,86.0,2,6403.574087862993
5176,Built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,1184.0,2.0,1.0,69.0,2,5827.702702702703
5177,Super built-up  Area,Ready To Move,Koramangala,3 BHK,2246.0,3.0,0.0,300.0,3,13357.07925200356
5178,Built-up  Area,Ready To Move,other,3 Bedroom,4510.0,4.0,3.0,200.0,3,4434.589800443459
5179,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3785.0,5.0,,280.0,4,7397.622192866578
5180,Super built-up  Area,Ready To Move,other,3 BHK,1540.0,3.0,2.0,85.0,3,5519.480519480519
5181,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550.0,3.0,3.0,65.11,3,4200.645161290323
5182,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1345.0,2.0,1.0,57.0,3,4237.918215613383
5183,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,975.0,2.0,2.0,45.0,3,4615.384615384615
5184,Super built-up  Area,18-Aug,JP Nagar,2 BHK,1152.0,2.0,1.0,34.56,2,3000.0
5185,Built-up  Area,Ready To Move,Old Airport Road,4 Bedroom,3200.0,4.0,2.0,700.0,4,21875.0
5186,Super built-up  Area,19-Dec,other,3 BHK,1033.0,2.0,2.0,31.5,3,3049.370764762826
5187,Super built-up  Area,Ready To Move,other,3 BHK,1800.0,3.0,0.0,230.0,3,12777.777777777776
5188,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1102.0,2.0,2.0,53.67,2,4870.235934664247
5189,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1223.0,2.0,2.0,42.81,3,3500.408830744072
5190,Super built-up  Area,18-Mar,Kadugodi,3 BHK,1762.0,3.0,3.0,112.0,3,6356.413166855846
5191,Built-up  Area,Ready To Move,KR Puram,6 Bedroom,2000.0,6.0,0.0,85.0,6,4250.0
5192,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1410.0,2.0,2.0,38.0,3,2695.035460992908
5193,Super built-up  Area,19-Dec,Thanisandra,3 BHK,1853.0,3.0,1.0,64.86,3,3500.269832703724
5194,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1455.0,2.0,,69.0,2,4742.268041237114
5195,Super built-up  Area,18-Jan,Hebbal,2 BHK,1138.0,2.0,1.0,110.0,2,9666.080843585238
5196,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2556.0,3.0,2.0,169.0,3,6611.89358372457
5197,Super built-up  Area,18-May,TC Palaya,3 BHK,1200.0,2.0,0.0,66.5,3,5541.666666666667
5198,Super built-up  Area,Ready To Move,other,2 BHK,1200.0,2.0,2.0,37.0,2,3083.333333333333
5199,Super built-up  Area,19-Jun,Whitefield,3 BHK,1870.0,3.0,2.0,138.0,3,7379.679144385027
5200,Super built-up  Area,18-May,Panathur,2 BHK,1199.0,2.0,1.0,86.0,2,7172.643869891576
5201,Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1360.0,2.0,2.0,54.4,3,4000.0
5202,Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,1230.0,3.0,3.0,53.0,3,4308.943089430894
5203,Super built-up  Area,Ready To Move,other,3 BHK,2000.0,3.0,2.0,120.0,3,6000.0
5204,Plot  Area,Ready To Move,Kasturi Nagar,4 Bedroom,1200.0,4.0,2.0,250.0,4,20833.33333333333
5205,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,1047.0,2.0,1.0,83.0,2,7927.411652340019
5206,Plot  Area,18-Mar,Electronic City Phase II,4 Bedroom,6000.0,4.0,,260.0,4,4333.333333333333
5207,Plot  Area,18-Feb,Ramamurthy Nagar,2 Bedroom,1200.0,2.0,1.0,76.0,2,6333.333333333333
5208,Super built-up  Area,18-Jan,Kengeri Satellite Town,2 BHK,1302.5,2.0,0.0,44.285,2,3400.0
5209,Super built-up  Area,Ready To Move,Kengeri,2 BHK,725.0,2.0,1.0,30.0,2,4137.931034482759
5210,Super built-up  Area,Ready To Move,Jakkur,3 BHK,1645.0,3.0,1.0,100.0,3,6079.0273556231
5211,Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,870.0,2.0,1.0,65.0,2,7471.264367816092
5212,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1026.0,2.0,1.0,49.95,2,4868.421052631579
5213,Built-up  Area,18-Jul,other,3 BHK,2000.0,3.0,1.0,145.0,3,7250.0
5214,Super built-up  Area,Ready To Move,Cooke Town,2 BHK,1710.0,2.0,2.0,200.0,2,11695.906432748538
5215,Super built-up  Area,18-Apr,Hosur Road,3 BHK,1766.0,3.0,1.0,130.0,3,7361.268403171008
5216,Super built-up  Area,Ready To Move,other,1 BHK,500.0,1.0,1.0,15.0,1,3000.0
5217,Built-up  Area,18-Apr,JP Nagar,2 BHK,1100.0,1.0,1.0,15.0,2,1363.6363636363635
5218,Super built-up  Area,Ready To Move,Jigani,3 BHK,1221.0,3.0,3.0,52.0,3,4258.804258804259
5219,Super built-up  Area,Ready To Move,Rachenahalli,1 BHK,680.0,1.0,1.0,46.0,1,6764.705882352941
5220,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1278.0,2.0,2.0,90.0,2,7042.2535211267605
5221,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,1025.0,2.0,2.0,66.0,2,6439.024390243902
5222,Super built-up  Area,18-Aug,Whitefield,2 BHK,1175.0,2.0,1.0,39.0,2,3319.148936170213
5223,Super built-up  Area,19-Jul,Sarjapur  Road,2 BHK,975.0,2.0,0.0,28.275,2,2900.0
5224,Built-up  Area,Ready To Move,6th Phase JP Nagar,1 Bedroom,600.0,1.0,1.0,75.0,1,12500.0
5225,Super built-up  Area,Ready To Move,other,2 BHK,850.0,2.0,1.0,42.0,2,4941.176470588235
5226,Super built-up  Area,Ready To Move,Anjanapura,2 BHK,710.0,2.0,0.0,25.0,2,3521.12676056338
5227,Built-up  Area,18-Dec,other,2 BHK,1165.0,2.0,1.0,33.64,2,2887.5536480686696
5228,Super built-up  Area,18-Apr,Sarjapur,1 BHK,625.0,1.0,1.0,19.0,1,3040.0
5229,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1340.0,3.0,1.0,66.0,3,4925.373134328358
5230,Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,937.0,2.0,1.0,35.0,2,3735.325506937033
5231,Super built-up  Area,Ready To Move,JP Nagar,1 BHK,750.0,1.0,1.0,52.5,1,7000.0
5232,Built-up  Area,Ready To Move,Shampura,3 BHK,1475.0,3.0,3.0,78.0,3,5288.135593220339
5233,Plot  Area,Ready To Move,other,4 Bedroom,2230.0,4.0,1.0,130.0,4,5829.596412556054
5234,Plot  Area,Ready To Move,other,4 Bedroom,2200.0,5.0,1.0,100.0,4,4545.454545454545
5235,Plot  Area,Ready To Move,Mysore Road,2 Bedroom,900.0,2.0,0.0,65.0,2,7222.222222222223
5236,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1116.0,2.0,2.0,37.0,2,3315.412186379928
5237,Built-up  Area,Ready To Move,Hoodi,2 BHK,948.0,2.0,1.0,75.0,2,7911.392405063291
5238,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,970.0,2.0,1.0,55.0,2,5670.103092783505
5239,Super built-up  Area,Ready To Move,other,3 BHK,1519.0,3.0,2.0,67.23,3,4425.938117182357
5240,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1200.0,2.0,1.0,65.0,3,5416.666666666667
5241,Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1760.0,3.0,2.0,127.0,3,7215.909090909091
5242,Plot  Area,Ready To Move,Whitefield,4 Bedroom,4400.0,5.0,3.0,525.0,4,11931.818181818182
5243,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1914.0,3.0,3.0,179.0,3,9352.1421107628
5244,Super built-up  Area,Ready To Move,Budigere,3 BHK,1820.0,3.0,2.0,85.5,3,4697.802197802198
5245,Built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1565.0,3.0,2.0,78.0,3,4984.025559105431
5246,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1334.0,2.0,3.0,42.69,2,3200.1499250374814
5247,Super built-up  Area,19-Mar,Sarakki Nagar,2 BHK,924.0,2.0,2.0,76.23,2,8250.0
5248,Super built-up  Area,Ready To Move,Jigani,2 BHK,914.0,2.0,2.0,49.0,2,5361.050328227571
5249,Built-up  Area,Ready To Move,Kengeri,1 BHK,500.0,1.0,1.0,17.0,1,3400.0
5250,Super built-up  Area,18-Mar,Yelahanka,3 BHK,2145.0,3.0,3.0,125.0,3,5827.505827505827
5251,Built-up  Area,18-Apr,Electronic City,3 BHK,1650.0,3.0,2.0,100.0,3,6060.606060606061
5252,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,3940.0,4.0,3.0,220.0,4,5583.756345177665
5253,Built-up  Area,18-Dec,Electronic City,2 BHK,1020.0,2.0,1.0,29.45,2,2887.2549019607845
5254,Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,1180.0,2.0,3.0,58.0,2,4915.254237288135
5255,Super built-up  Area,Ready To Move,Ulsoor,2 BHK,1255.0,2.0,3.0,120.0,2,9561.752988047809
5256,Super built-up  Area,20-Jul,other,3 BHK,2777.29,5.0,2.0,650.0,3,23404.10976167415
5257,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,1014.0,2.0,1.0,35.0,2,3451.6765285996057
5258,Super built-up  Area,Ready To Move,Attibele,2 BHK,695.0,1.0,1.0,25.0,2,3597.122302158273
5259,Plot  Area,Ready To Move,Prithvi Layout,3 Bedroom,2273.0,4.0,3.0,220.0,3,9678.838539375274
5260,Super built-up  Area,18-Mar,GM Palaya,2 BHK,1140.0,2.0,2.0,48.95,2,4293.859649122807
5261,Built-up  Area,Ready To Move,Giri Nagar,6 Bedroom,3000.0,4.0,1.0,375.0,6,12500.0
5262,Super built-up  Area,20-Aug,Begur Road,4 BHK,2400.0,4.0,2.0,152.0,4,6333.333333333333
5263,Super built-up  Area,Ready To Move,Attibele,2 BHK,850.0,1.0,1.0,25.0,2,2941.176470588235
5264,Super built-up  Area,Ready To Move,Banashankari,2 BHK,1200.0,2.0,1.0,60.0,2,5000.0
5265,Built-up  Area,18-Dec,other,4 BHK,3160.0,4.0,3.0,206.0,4,6518.987341772152
5266,Super built-up  Area,Ready To Move,Hoodi,3 BHK,1769.0,3.0,3.0,96.87,3,5475.975127190503
5267,Carpet  Area,18-Dec,Bhoganhalli,4 BHK,1554.3,4.0,1.0,131.0,4,8428.231358167664
5268,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243.0,2.0,2.0,46.0,2,3700.724054706356
5269,Plot  Area,18-Apr,other,4 Bedroom,4920.0,5.0,2.0,1150.0,4,23373.9837398374
5270,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,905.0,2.0,1.0,40.0,2,4419.889502762431
5271,Built-up  Area,Ready To Move,Kothanur,1 Bedroom,627.0,1.0,1.0,30.0,1,4784.688995215311
5272,Built-up  Area,18-Mar,Domlur,3 BHK,2180.0,3.0,2.0,285.0,3,13073.394495412844
5273,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,2400.0,3.0,2.0,260.0,3,10833.333333333334
5274,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1435.0,3.0,1.0,73.0,3,5087.1080139372825
5275,Super built-up  Area,22-May,Jakkur,4 BHK,3405.1,6.0,3.0,400.0,4,11747.085254471234
5276,Built-up  Area,Ready To Move,Kodihalli,3 BHK,1620.0,3.0,2.0,130.0,3,8024.691358024691
5277,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1862.0,3.0,2.0,125.0,3,6713.211600429646
5278,Super built-up  Area,19-Nov,Kaikondrahalli,2 BHK,674.0,1.0,1.0,19.9,2,2952.522255192878
5279,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220.0,2.0,1.0,59.0,2,4836.065573770492
5280,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1025.0,2.0,1.0,49.0,2,4780.487804878048
5281,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1430.0,2.0,3.0,54.5,3,3811.188811188811
5282,Super built-up  Area,Ready To Move,Panathur,2 BHK,1235.0,2.0,3.0,65.0,2,5263.1578947368425
5283,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1291.0,2.0,3.0,32.0,3,2478.698683191325
5284,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1498.0,3.0,2.0,95.0,3,6341.789052069425
5285,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2180.0,3.0,2.0,240.0,3,11009.174311926605
5286,Super built-up  Area,18-Apr,Electronic City,2 BHK,1000.0,2.0,1.0,29.7,2,2970.0
5287,Plot  Area,Ready To Move,other,2 Bedroom,922.0,2.0,1.0,70.0,2,7592.190889370932
5288,Built-up  Area,Ready To Move,other,2 BHK,850.0,2.0,1.0,72.0,2,8470.588235294117
5289,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1123.0,2.0,2.0,64.0,2,5699.020480854853
5290,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1235.0,2.0,1.0,75.0,2,6072.8744939271255
5291,Super built-up  Area,Ready To Move,Kogilu,2 BHK,1250.0,2.0,1.0,55.55,2,4444.0
5292,Plot  Area,Ready To Move,Whitefield,4 Bedroom,2403.0,5.0,,360.0,4,14981.2734082397
5293,Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,984.0,2.0,1.0,45.91,2,4665.650406504065
5294,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1305.0,2.0,1.0,99.0,2,7586.206896551724
5295,Plot  Area,Ready To Move,other,2 Bedroom,1200.0,1.0,0.0,65.0,2,5416.666666666667
5296,Super built-up  Area,19-Jun,Hebbal,4 BHK,2790.0,5.0,3.0,204.0,4,7311.827956989247
5297,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,2010.0,3.0,2.0,125.0,4,6218.905472636816
5298,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,995.0,2.0,0.0,42.0,2,4221.105527638191
5299,Built-up  Area,Ready To Move,Varthur Road,2 BHK,1277.0,2.0,2.0,59.0,2,4620.203602192639
5300,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1236.0,2.0,2.0,61.33,2,4961.974110032363
5301,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1265.0,2.0,3.0,67.0,2,5296.442687747036
5302,Super built-up  Area,18-Apr,Kanakpura Road,1 BHK,525.0,2.708601981443623,,27.0,1,5142.857142857143
5303,Built-up  Area,Ready To Move,Gubbalala,5 BHK,2570.0,4.0,,141.0,5,5486.381322957199
5304,Plot  Area,Ready To Move,Hennur Road,4 Bedroom,2400.0,5.0,3.0,390.0,4,16250.0
5305,Super built-up  Area,Ready To Move,other,3 BHK,1442.0,3.0,2.0,56.24,3,3900.138696255201
5306,Super built-up  Area,Ready To Move,Ardendale,2 BHK,1224.0,2.0,2.0,70.0,2,5718.954248366013
5307,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1205.0,2.0,1.0,59.0,2,4896.265560165975
5308,Super built-up  Area,Ready To Move,other,2 BHK,1233.0,2.0,3.0,100.0,2,8110.300081103001
5309,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1312.0,2.0,3.0,69.0,2,5259.146341463415
5310,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1449.0,3.0,2.0,90.0,3,6211.180124223602
